"run","start_time_min","end_time_min","jar_mass_g","jar_and_sample_mass_g","sample_mass_g","slope","surface","rainfall","replicate","raw_mass_g","condition","cumulative_mass_g"
32,15,20,2.47424,2.49958,0.01885,10,"sand","high",4,0.0253399999999999,8,0.78409
32,20,25,2.49351,2.51247,0.01247,10,"sand","high",4,0.0189599999999999,8,0.79656
32,25,30,2.4536,2.46914,0.00905,10,"sand","high",4,0.0155400000000001,8,0.80561
33,0,5,2.64221,3.42628,0.77845,5,"sand","high",1,0.78407,9,0.77845
33,5,10,2.59173,2.65078,0.05343,5,"sand","high",1,0.05905,9,0.83188
33,10,15,2.64571,2.6797,0.02837,5,"sand","high",1,0.0339900000000002,9,0.86025
33,15,20,2.58363,2.60569,0.01644,5,"sand","high",1,0.0220600000000002,9,0.87669
33,20,25,2.55516,2.57544,0.01466,5,"sand","high",1,0.0202800000000001,9,0.89135
33,25,30,2.60335,2.61705,0.00808,5,"sand","high",1,0.0137,9,0.89943
34,0,5,2.62209,3.39717,0.769711,5,"sand","high",2,0.77508,9,0.769711
34,5,10,2.61863,2.6891,0.065101,5,"sand","high",2,0.0704699999999998,9,0.834812
34,10,15,2.63138,2.66787,0.031121,5,"sand","high",2,0.0364900000000001,9,0.865933
34,15,20,2.61906,2.64247,0.018041,5,"sand","high",2,0.0234099999999997,9,0.883974
34,20,25,2.6147,2.63205,0.011981,5,"sand","high",2,0.01735,9,0.895955
34,25,30,2.58552,2.59888,0.007991,5,"sand","high",2,0.01336,9,0.903946
35,0,5,2.61537,3.34045,0.72033,5,"sand","high",3,0.72508,9,0.72033
35,5,10,2.60749,2.67648,0.06424,5,"sand","high",3,0.0689900000000003,9,0.78457
35,10,15,2.58127,2.61749,0.03147,5,"sand","high",3,0.0362200000000001,9,0.81604
35,15,20,2.54621,2.57345,0.02249,5,"sand","high",3,0.0272399999999999,9,0.83853
35,20,25,2.50998,2.52991,0.01518,5,"sand","high",3,0.01993,9,0.85371
35,25,30,2.52211,2.53931,0.01245,5,"sand","high",3,0.0171999999999999,9,0.86616
36,0,5,2.55866,3.33063,0.76666,5,"sand","high",4,0.77197,9,0.76666
36,5,10,2.44569,2.51189,0.06089,5,"sand","high",4,0.0662000000000003,9,0.82755
36,10,15,2.58065,2.61814,0.03218,5,"sand","high",4,0.03749,9,0.85973
36,15,20,2.52493,2.54865,0.01841,5,"sand","high",4,0.02372,9,0.87814
36,20,25,2.47445,2.49361,0.01385,5,"sand","high",4,0.0191599999999998,9,0.89199
36,25,30,2.46705,2.48306,0.0107,5,"sand","high",4,0.0160100000000001,9,0.90269
37,0,5,2.48473,3.19752,0.70854,5,"concrete","high",1,0.71279,10,0.70854
37,5,10,2.55012,2.59174,0.03737,5,"concrete","high",1,0.04162,10,0.74591
37,10,15,2.46016,2.48415,0.01974,5,"concrete","high",1,0.02399,10,0.76565
37,15,20,2.46402,2.47454,0.00627,5,"concrete","high",1,0.0105200000000001,10,0.77192
37,20,25,2.47017,2.47707,0.00265,5,"concrete","high",1,0.00689999999999991,10,0.77457
37,25,30,2.45644,2.46062,0,5,"concrete","high",1,0.00417999999999985,10,0.77457
38,0,5,2.4692,3.18727,0.71601,5,"concrete","high",2,0.71807,10,0.71601
38,5,10,2.48262,2.52949,0.04481,5,"concrete","high",2,0.0468700000000002,10,0.76082
38,10,15,2.47275,2.49288,0.01807,5,"concrete","high",2,0.02013,10,0.77889
38,15,20,2.49428,2.50332,0.00698,5,"concrete","high",2,0.00904000000000016,10,0.78587
38,20,25,2.47727,2.48519,0.00586,5,"concrete","high",2,0.00791999999999993,10,0.79173
38,25,30,2.49879,2.50475,0.0057,5,"concrete","high",2,0.00595999999999997,10,0.79743
39,0,5,2.48492,3.21765,0.72917,5,"concrete","high",3,0.73273,10,0.72917
39,5,10,2.56499,2.60932,0.04077,5,"concrete","high",3,0.04433,10,0.76994
39,10,15,2.4985,2.51462,0.01256,5,"concrete","high",3,0.0161199999999999,10,0.7825
39,15,20,2.45431,2.46401,0.00614,5,"concrete","high",3,0.00970000000000004,10,0.78864
39,20,25,2.46672,2.47287,0.00259,5,"concrete","high",3,0.00614999999999988,10,0.79123
39,25,30,2.48384,2.48795,0.00055,5,"concrete","high",3,0.00411000000000028,10,0.79178
40,0,5,2.47268,3.19801,0.72335,5,"concrete","high",4,0.72533,10,0.72335
40,5,10,2.48389,2.532,0.04613,5,"concrete","high",4,0.0481099999999999,10,0.76948
40,10,15,2.48455,2.50177,0.01524,5,"concrete","high",4,0.01722,10,0.78472
